isin,ticker,name
GB00B1YW4409,III,3i Group PLC
JE00BF5FX167,3IN,3i Infrastructure PLC
GB00BMF19B58,AAS,Aberdeen Asia Focus PLC
GB00B0P6J834,AAIF,Aberdeen Asian Income Fund Ltd
GB0006039597,AEI,Aberdeen Equity Income Trust PLC
GB0006048770,ANII,Aberdeen New India Investment Trust PLC
GB00BPJMQ253,AGVI,Aberforth Geared Value & Income Trust PLC
GB0000066554,ASL,Aberforth Smaller Companies Trust PLC
GB00BD9PXH49,ASLI,Abrdn European Logistics Income PLC
GB0033875286,API,Abrdn Property Income Trust Ltd
GB0002959582,AUSC,Abrdn UK Smaller Companies Growth Trust PLC
GG00BT3GKD08,AIC,Achilles Investment Company Ltd
GB00BR0WHY71,ACRM,Acuity RM Group PLC
GB00BWD24154,AEWU,AEW UK REIT PLC
GB00BSPT6546,CRWC,Albion Crown Vct PLC
GB0002577434,CRWN,Albion Crown VCT PLC
GB00B1G3LR35,AAEV,Albion Enterprise VCT PLC
GB0005581672,AATG,Albion Technology & General VCT PLC
GB00B1VS7G47,ALNA,Alina Holdings PLC
GB00B11V7W98,ALW,Alliance Witan PLC
GB00BNG2M159,ATT,Allianz Technology Trust PLC
GB00BDVK7088,AIRE,Alternative Income REIT PLC
GG00BQKNKR70,AA4,Amedeo Air Four Plus Ltd
GB00BK6RLF66,AERS,Aquila European Renewables PLC
GB00B1FL3C76,AFL,Artemis UK Future Leaders PLC
GB00BF50VS41,AIE,Ashoka India Equity Investment Trust PLC
GB00BMZR7D19,AWEM,Ashoka Whiteoak Emerging Markets Trust PLC
GB0000609296,ATY,Athelney Trust PLC
GB00BG12XV81,AUGM,Augmentum Fintech PLC
GB0000633262,ARR,Aurora Investment Trust PLC
GB00BLH3CY60,AGT,AVI Global Trust PLC
GB00BD6H5D36,AJOT,AVI Japan Opportunity Trust PLC
GB0003656021,BGCG,Baillie Gifford China Growth Trust PLC
GB00BMC7T380,BGEU,Baillie Gifford European Growth Trust PLC
GB0000485838,BGFD,Baillie Gifford Japan Trust (The) PLC
GB00BFXYH242,BGS,Baillie Gifford Shin Nippon PLC
GB0007913485,BGUK,Baillie Gifford UK Growth Fund PLC
GB00BDFGHW41,USA,Baillie Gifford US Growth Trust PLC
GG00B6686L20,BSRT,Baker Steel Resources Trust Ltd
GB00BN4NDR39,BNKR,Bankers Investment Trust PLC
GB0032273343,BEMO,Baring Emerging EMEA Opportunities PLC
GB0030028103,BMD,Baronsmead Second Venture Trust PLC
GB0002631934,BVT,Baronsmead Venture Trust PLC
GG00BQBFY362,BHMG,BH Macro Ltd
GB0002869419,BYG,Big Yellow Group PLC
GB00BDGKMY29,BPCP,BioPharma Credit PLC
GB0000385517,BIOG,Biotech Growth Trust (The) PLC
GB00BKV46W45,BFSP,Blackfinch Spring VCT PLC
GB00B7W0XJ61,BRAI,Blackrock American Income Trust PLC
GB00B0N8MF98,BERI,BlackRock Energy and Resources Income Trust PLC
GB00B3SXM832,BRFI,Blackrock Frontiers Investment Trust PLC
GB00B01RDH75,BRGE,BlackRock Greater Europe Investment Trust PLC
GB0030961691,BRIG,Blackrock Income & Growth Investment Trust PLC
GB0005058408,BRLA,BlackRock Latin American Investment Trust PLC
GB0006436108,BRSC,BlackRock Smaller Companies Trust PLC
GB0005774855,BRWM,BlackRock World Mining Trust PLC
GG00BB0RDB98,BSIF,Bluefield Solar Income Fund Ltd
GB0000653112,BAF,British & American Investment Trust PLC
GB0001367019,BLND,British Land Co PLC
GB0005001796,BSC,British Smaller Companies VCT 2 PLC
GB0001403152,BSV,British Smaller Companies VCT PLC
GB0003463402,BASC,Brown Advisory US Smaller Companies PLC
GB0001490001,BUT,Brunner Investment Trust PLC
GB00BYQPF348,CLC,Calculus VCT PLC
GB00BTNQ8K38,CLDN,Caledonia Investments PLC
CA1358251074,CGI,Canadian General Investments Ltd
GB0001738615,CGT,Capital Gearing Trust PLC
GG00BMWWJM28,CGL,Castelnau Group Ltd
GB00BYSRMH16,CCJI,CC Japan Income & Growth Trust PLC
GG00BFMDJH11,CBA,Ceiba Investments Ltd
GB0006615826,SDV,Chelverton UK Dividend Trust PLC
GG00BWBSDM98,TORG,Chenavari Toro Income Fund Ltd
GG00BGJYPP46,CHRY,Chrysalis Investment Ltd
GB0001990497,CTY,City of London Investment Trust (The) PLC
GG00BMC7TM77,CORD,Cordiant Digital Infrastructure Ltd
GB0000353929,CYN,CQS Natural Resources Growth & Income PLC
JE00B1LZS514,NCYF,CQS New City High Yield Fund Ltd
GG00B1Z2SL48,CRS,Crystal Amber Fund Ltd
GB00B2PP3J36,CMPI,CT Global Managed Portfolio Trust PLC
GB00B2PP2527,CMPG,CT Global Managed Portfolio Trust PLC
GB00BZCNLL95,CTHT,Ct Healthcare Trust PLC
GB0030738271,CTPE,CT Private Equity Trust PLC
GB0003463287,CTUK,CT UK Capital And Income Investment Trust PLC
GB00B1N4G299,CHI,CT UK High Income Trust PLC
GB00B1N4H594,CHIB,CT UK High Income Trust PLC
GB00BJFLFT45,CREI,Custodian Reit PLC
JE00B9MRHZ51,CVCG,CVC Income & Growth Ltd
GG00BSWT8V72,DCI,DCI Advisors Ltd
GB0002652740,DLN,Derwent London PLC
GB00BD0ND667,DVNO,Develop North PLC
JE00BPH3HM76,DGI9,Digital 9 Infrastructure PLC
GB00B65TLW28,DIVI,Diverse Income Trust (The) PLC
GB0003406096,DIG,Dunedin Income Growth Inv Trust PLC
GB00BD3V4641,EGL,Ecofin Global Utilities And Infrastructure Trust PLC
GB0003052338,EDIN,Edinburgh Investment Trust (The) PLC
GB00BHSRZC82,EWI,Edinburgh Worldwide Investment Trust PLC
JE00BF0D1M25,EJFI,EJF Investments Ltd
,ESO,EPE Special Opportunities Ltd
,EO.P,EPE Special Opportunities Ltd
,ESOZ,EPE Special Opportunities Ltd
GB0000197722,EOT,European Opportunities Trust PLC
GB0003466074,FCIT,F&C Investment Trust PLC
GB0003322319,FAS,Fidelity Asian Values PLC
GB00B62Z3C74,FCSS,Fidelity China Special Situations PLC
GG00B4L0PD47,FEML,Fidelity Emerging Markets Ltd
GB00BK1PKQ95,FEV,Fidelity European Trust PLC
GB00BWXC7Y93,FSV,Fidelity Special Values PLC
GB0007816068,FGT,Finsbury Growth & Income Trust PLC
GB00B07YBS95,FTF,Foresight Enterprise VCT PLC
GG00BJL5FH87,FGEN,Foresight Environmental Infrastructure Ltd
JE00BD3QJR55,FSFL,Foresight Solar Fund Ltd
GB00BKF2JH04,FWT,Foresight Technology Vct PLC
GB00B68K3716,FTV,Foresight VCT PLC
GB00BRBQ0C76,FVEN,Foresight Ventures VCT PLC
GB0005372411,FRGT,Franklin Global Trust PLC
GB00BP2RHT10,FVV,Fuel Ventures Vct PLC
JE00BPCSN748,GABI,GCP Asset Backed Income Fund Ltd
JE00B6173J15,GCP,GCP Infrastructure Investments Ltd
GB00B15FW330,GCL,Geiger Counter Ltd
GB0033862573,GOT,Global Opportunities Trust PLC
GB00BKLXD974,GSCT,Global Smaller Companies Trust PLC (The)
GG00B1G9T992,GPM,Golden Prospect Precious Metals Ltd
GB00BG0P0V73,GSF,Gore Street Energy Storage Fund PLC
GB00B04V1276,GRI,Grainger PLC
GB00BF5H9P87,GPE,Great Portland Estates PLC
GB00B8SC6K54,UKW,Greencoat UK Wind PLC
GB00B4KWC525,GV2A,Gresham House  Renewable Energy VCT 2 PLC
GB00B43GVJ82,GV2O,Gresham House  Renewable Energy VCT 2 PLC
GB00BFX3K770,GRID,Gresham House Energy Storage Fund PLC
GB00B01WL239,GHV2,Gresham House Income & Growth 2 VCT PLC
GB00B29BN198,GHV1,Gresham House Income & Growth VCT PLC
GB00B4L13999,GV1A,Gresham House Renewable Energy VCT 1 PLC
GB00B4M2G812,GV1O,Gresham House Renewable Energy VCT 1 PLC
GB00BL594W83,GRIT,GRIT Investment Trust PLC
GB00B715WG26,GRIO,Ground Rents Income Fund PLC
GB00BQD0HG35,GVCT,Guinness Vct PLC
GB00BRJQ8J25,HMSO,Hammerson PLC
,HAN,Hansa Investment Company Ltd
,HANA,Hansa Investment Company Ltd
GG00BR30MJ80,HVPE,Harbourvest Global Private Equity Ltd
GB00B02WHS05,HHV,Hargreave Hale AIM VCT 1 PLC
JE00B1GXH751,HFEL,Henderson Far East Income Ltd
GB0009580571,HHI,Henderson High Income Trust PLC
GB0009065060,HSL,Henderson Smaller Companies Investment Trust PLC
GB0004228648,HRI,Herald Investment Trust PLC
GB00BJ0LT190,HGT,HgCapital Trust PLC
GB00BJLP1Y77,HICL,HICL Infrastructure PLC
GB00BJP5HK17,HOME,Home Reit PLC
GB0003292009,ICGT,ICG Enterprise Trust PLC
GG00B8C23S81,LBOW,ICG-Longbow Senior Secured UK Property Debt Investments Ltd
GB0031232498,IEM,Impax Environmental Markets PLC
GB00B0P8RJ60,IGC,India Capital Growth Fund Ltd
GB0004559349,IBT,International Biotechnology Trust PLC
GB00B188SR50,INPP,International Public Partnership Ltd
GB0004535307,IAD,Invesco Asia Dragon Trust PLC
JE00B6RMDP68,BIPS,Invesco Bond Income Plus Ltd
GB00B1DQ6472,IGET,Invesco Global Equity Income Trust PLC
GB00BV4FKD05,INV,Investment Company (The) PLC
GB00BKZGVH64,JAM,JPMorgan American Investment Trust PLC
GB0001320778,JAGI,JPMorgan Asia Growth & Income PLC
GB0003435012,JCGI,JPMorgan China Growth & Income PLC
GB0003422184,JCH,JPMorgan Claverhouse Investment Trust PLC
GB0032164732,JEMA,"Jpmorgan Emerging Europe, Middle East & Africa Securities PLC"
GB00B5ZZY915,JEMI,JPMorgan Emerging Markets Dividend Income PLC
GB00BMXWN182,JMGI,JPMorgan Emerging Markets Growth & Income PLC
GB00BMTS0Z37,JEDT,JPMorgan European Discovery Trust PLC
GB00BPR9Y246,JEGI,JPMorgan European Growth & Income PLC
GG00BWPKR307,JARA,JPMorgan Global Core Real Assets Ltd
GB00BYMKY695,JGGI,JPMorgan Global Growth & Income PLC
GB0003450359,JIGI,JPMorgan India Growth & Income PLC
GB0001740025,JFJ,JPMorgan Japanese Investment Trust PLC
GB00BF7L8P11,JUGI,JPMorgan UK Small Cap Growth & Income PLC
GB00BJL5F346,JUSC,JPMorgan US Smaller Companies IT PLC
GG00BPNZ7G17,JZCP,JZ Capital Partners Ltd
GB00BYWK1Q82,KCR,KCR Residential REIT PLC
GB00BFM6WC61,KRM,KRM22 PLC
GB00BYW0PQ60,LAND,Land Securities Group PLC
GB0031429219,LWDB,Law Debenture Corp (The) PLC
GB00BNKDVV71,LTI,Lindsell Train Investment Trust (The) PLC
GB00BMF1L080,BOOK,Literacy Capital PLC
VGG550931015,LIV,Livermore Investments Group Ltd
GB00B12MHD28,LMS,LMS Capital PLC
GB00B4WFW713,LMP,Londonmetric Property PLC
GB00BNXGHS27,LWI,Lowland Investment Co PLC
GB00BFYYL325,MGCI,M&G Credit Income Investment Trust PLC
GG00BGDYFV61,MPO,Macau Property Opportunities Fund Ltd
GB0005555221,MAJE,Majedie Investments PLC
GB0002258472,MNL,Manchester & London Investment Trust PLC
,MVR2,Marwyn Value Investors Ltd
,MVI,Marwyn Value Investors Ltd
,MVIR,Marwyn Value Investors Ltd Realisation
GB0031153769,MIG3,Maven Income & Growth  VCT 3 PLC
GB0002057536,MIG5,Maven Income & Growth VCT 5 PLC
GB0004122858,MIG1,Maven Income & Growth VCT PLC
GB00B043QW84,MAV4,Maven Income & Growth VCT4 PLC
GB00B641BB82,MRV,Maven Renovar VCT PLC
GB00BF4JDH58,MRC,Mercantile Investment Trust (The) PLC
GB0005800072,MRCH,Merchants Trust (The) PLC
GB00B6VTTK07,MWY,Mid Wynd International Inv Trust PLC
GB0034365949,MIGO,Migo Opportunities Trust PLC
GB00BFZ7R980,MMIT,Mobius Investment Trust PLC
GB00BY7QYJ50,GROW,Molten Ventures PLC
GB0002867140,MVCT,Molten Ventures VCT PLC
GB0030517261,MNKS,Monks Investment Trust (The) PLC
GB00BM8H3X05,MTE,Montanaro European Smaller Companies Trust PLC
GB00BZ1H9L86,MTU,Montanaro UK Smaller Companies Inv Tr PLC
GB0006111123,MUT,Murray Income Trust PLC
GB00BQZCCB79,MYI,Murray International Trust PLC
GG00B1ZBD492,NBPE,NB Private Equity Partners Ltd
GB0002631041,NSI,New Star Investment Trust PLC
GB00BD7XPJ64,NRR,NewRiver REIT PLC
GG00BJ0JVY01,NESF,NextEnergy Solar Fund Ltd
GB00BKLGLS10,NAVF,Nippon Active Value Fund PLC
GB00BJ00Z303,NAIT,North American Income Trust PLC
GB00BRDXZ870,NAS,North Atlantic Smaller Companies Inv Trust PLC
GB0005356430,NTV,Northern 2 VCT PLC
GB0031152027,NTN,Northern 3 VCT PLC
GB0006450703,NVT,Northern Venture Trust PLC
,OCI,Oakley Capital Investments Ltd
GB00B1SN3863,OVCT,Oberon Aim Vct PLC
GB00B0JQZZ80,OSEC,Octopus AIM VCT 2 PLC
GB0034202076,OOA,Octopus AIM VCT PLC
GB00B17B3479,OAP3,Octopus Apollo VCT 3 PLC
GB00BNGFHX14,OFG,Octopus Future Generations VCT PLC
GB00BJM02935,ORIT,Octopus Renewables Infrastructure Trust PLC
GB00B28V9347,OTV2,Octopus Titan VCT PLC
GB00BFFK7H57,OIT,Odyssean Investment Trust PLC
GG00BMZR1514,ONWD,Onward Opportunities Ltd
GG00B3BTVQ94,OIG,Oryx International Growth Fund Ltd
GB00BN73FM99,OT1,Oxford Technology 2 Venture Capital Trust PLC OT1
GB0003105052,OXH,Oxford Technology 2 Venture Capital Trust PLC OT2
GB00BN73FN07,OT3,Oxford Technology 2 Venture Capital Trust PLC OT3
GB00BN73FP21,OT4,Oxford Technology 2 Venture Capital Trust PLC OT4
GB0006674385,PAC,Pacific Assets Trust PLC
GB0006667470,PHI,Pacific Horizon Investment Trust PLC
GB00BF5SGF06,PCA,Palace Capital PLC
GB00BLNNFL88,PINT,Pantheon Infrastructure PLC
GB00BP37WF17,PIN,Pantheon International PLC
GG00B28C2R28,PEYS,Partners Group Private Equity Ltd
GB00BN6JYS78,AEET,Parvus Energy Efficiency Trust PLC
GB0030474687,PPET,Patria Private Equity Trust PLC
GB00BQVC9S79,PEMB,Pembroke VCT PLC B
GG00BPFJTF46,PSH,Pershing Square Holdings Ltd
GB00BM8B5H06,PNL,Personal Assets Trust PLC
JE00B248KJ21,PSDL,Phoenix Spree Deutschland Ltd
GB00B0LCW208,PCTN,Picton Property Income Ltd
GB00B9XQT119,PCFT,Polar Capital Global Financials Trust PLC
GB00B6832P16,PCGH,Polar Capital Global Healthcare Trust PLC
GB00BR3YV268,PCT,Polar Capital Technology Trust PLC
GB00BL690L89,PGV,Praetura Growth Vct PLC
GB00BYRJ5J14,PHP,Primary Health Properties PLC
GB00B5B7YS03,PGOO,ProVen Growth & Income VCT PLC
GB00B8GH9P84,PVN,ProVen VCT PLC
GB00BRC89928,PAIM,Puma Aim VCT PLC
GB00BGMG7F10,PUAL,Puma Alpha Vct PLC
GB00BD5B1L68,PU13,Puma VCT 13 PLC
GB00B0HW5366,RECI,Real Estate Credit Investment PCC Ltd
GB00B45XLP34,RLE,Real Estate Investors PLC
GG00BSY2LD72,RGL,Regional REIT Ltd
GB00BYSX1508,RESI,Residential Secure Income PLC
GB0007392078,RIII,Rights and Issues Inv Trust PLC
GB0007366395,RCP,RIT Capital Partners PLC
GG00BNDMJP11,RMMC,River And Mercantile UK Micro Cap Investment Co Ltd
GG00BWZ6KH33,RSE,Riverstone Energy Ltd
GB00BYMTBG55,RMII,RM Infrastructure Income PLC
GB00BRRD5L66,RKW,Rockwood Strategic PLC
GB00B018CS46,RICA,Ruffer Investment Company Ltd
GB00B1N7Z094,SAFE,Safestore Holdings PLC
GB00B0CL3P62,LEND,Sancus Lending Group Ltd
GB0008710799,ATR,Schroder Asian Total Return Investment Company PLC
GB0007918872,SDP,Schroder AsiaPacific Fund PLC
GB00BN7JZR28,SBO,Schroder British Opportunities Trust PLC
GB00BF781319,SBSI,Schroder Bsc Social Impact Trust PLC
GB00BY7R8K77,SERE,Schroder European Real Estate Investment Trust Ltd
GB0007915860,SCF,Schroder Income Growth Fund PLC
GB0008022849,SJG,Schroder Japan Growth Fund PLC
GB00B0CRWN59,SOI,Schroder Oriental Income Fund Ltd
GB00B01HM147,SREI,Schroder Real Estate Investment Trust Ltd
GB0006108418,SCP,Schroder UK Mid Cap Fund PLC
GB00BVG1CF25,INOV,Schroders Capital Global Innovation Trust PLC
GB0007873697,SAIN,Scottish American Investment Co (The) PLC
GB00BLDYK618,SMT,Scottish Mortgage Investment Trust PLC
GB00BRBL6574,SST,Scottish Oriental Smaller Companies Trust PLC
GB00BGHVZM47,SEIT,SDCL Energy Efficiency Income Trust PLC
GG00BRK9BQ81,SEED,Seed Innovations Ltd
GB00B5ZN1N88,SGRO,Segro PLC
GB0031256109,HYG,Seneca Growth Capital VCT PLC
GB00BG13MH08,SVCT,Seneca Growth Capital VCT PLC B
GG00BV54HY67,SEQI,Sequoia Economic Infrastructure Income Fund Ltd
GB00BKPG0138,SSIT,Seraphim Space Investment Trust PLC
GB00B62G9D36,SHC,Shaftesbury Capital PLC
GG00B1W3VF54,SRE,Sirius Real Estate Ltd
GB00BF0P7H59,SOHO,Social Housing REIT PLC
GB00B0BDCB21,SEC,Strategic Equity Capital PLC
GB00B09G3N23,STS,STS Global Income & Growth Trust PLC
GB00BF345X11,SUPR,Supermarket Income Reit PLC
GB00BYWYZ460,SURE,Sure Ventures PLC
GG00B8P59C08,SYNC,Syncona Ltd
GB00BJGTLF51,THRL,Target Healthcare REIT Ltd
GB00BMV92D64,TMPL,Temple Bar Investment Trust PLC
GB00BKPG0S09,TEM,Templeton Emerging Markets Investment Trust PLC
GG00B1RMC548,TFGS,Tetragon Financial Group Ltd
GB00BMCF8689,ESCT,The European Smaller Companies Trust PLC
GG00BBHX2H91,TRIG,The Renewables Infrastructure Group Ltd
GG00BJ0CDD21,MNTS,The Schiehallion Fund Ltd
GB00BTY5RC40,TIR,Tiger Alpha PLC
GB00BKKD0862,TOO,Tooru PLC
GB0003062816,TOWN,Town Centre Securities PLC
GB0009064097,TRY,TR Property Investment Trust PLC
GB00BDTYGZ09,TPV,Triple Point Venture VCT PLC
GB00BG49KP99,BBOX,Tritax Big Box REIT PLC
GG00BSFVPB94,SHPP,Tufton Assets Ltd
GG00B90J5Z95,TFIF,TwentyFour Income Fund Ltd
GG00BJVDZ946,SMIF,TwentyFour Select Monthly Income Fund Ltd
,UTL,UIL Ltd
GB00B1RTFN43,UAV,Unicorn AIM VCT PLC
GB0006928617,UTG,UNITE Group PLC
GB00BJCWFX49,USFP,US Solar Fund PLC
GB00BD45S967,UEM,Utilico Emerging Markets Trust PLC
GB0008484718,VIP,Value & Indexed Property Income Trust PLC
GB00BNKVP754,ENRG,VH Global Energy Infrastructure PLC
,VEIL,Vietnam Enterprise Investments Ltd
GG00BJQZ9H10,VNH,Vietnam Holding Ltd
GG00BYXVT888,VOF,VinaCapital Vietnam Opportunity Fund Ltd
GG00B1GHHH78,VTAS,Volta Finance Ltd
GB00BVG6X439,VSL,VPC Specialty Lending Investments PLC
GB00B67G5X01,WKP,Workspace Group PLC
GB00BN455J50,WWH,Worldwide Healthcare Trust PLC
GG00BHXH0C87,WINV,Worsley Investors Ltd
